,hero_low,taggings,tag_distributions
0,Kumiko Toga was not having a good day.,"['NNP', 'NNP', 'VB', 'RB', 'VB', 'DT', 'JJ', 'NN']","[('NNP', 2), ('VB', 2), ('RB', 1), ('DT', 1), ('JJ', 1), ('NN', 1)]"
1,"First, her older sister was kicked out of their own house unjustly by her parents, so she ran away from home to accompany her and make sure Himiko didn’t die.","['NNP', 'PRP$', 'JJ', 'NN', 'VB', 'VB', 'IN', 'IN', 'PRP$', 'JJ', 'NN', 'RB', 'IN', 'PRP$', 'NN', 'IN', 'PRP', 'VB', 'RB', 'IN', 'NN', 'TO', 'VB', 'PRP$', 'CC', 'VB', 'JJ', 'NNP', 'NN', 'NN', 'NN']","[('NNP', 2), ('PRP$', 4), ('JJ', 3), ('NN', 7), ('VB', 5), ('IN', 5), ('RB', 2), ('PRP', 1), ('TO', 1), ('CC', 1)]"
2,"She knew that if she returned, her parents would punish her for running away, and that was not exactly the most ideal situation.","['PRP', 'VB', 'IN', 'IN', 'PRP', 'VB', 'PRP', 'NN', 'MD', 'VB', 'PRP$', 'IN', 'VB', 'RB', 'CC', 'DT', 'VB', 'RB', 'RB', 'DT', 'RB', 'JJ', 'NN']","[('PRP', 3), ('VB', 5), ('IN', 3), ('NN', 2), ('MD', 1), ('PRP$', 1), ('RB', 4), ('CC', 1), ('DT', 2), ('JJ', 1)]"
3,"This caused some problems: no money, no shelter, no food or water.","['DT', 'VB', 'DT', 'NN', 'DT', 'NN', 'DT', 'NN', 'DT', 'NN', 'CC', 'NN']","[('DT', 5), ('VB', 1), ('NN', 5), ('CC', 1)]"
4,"Himiko proposed that they steal food and other necessities from stores, but Kumiko didn’t like the idea of stealing from smaller stores and managed to convince her sister to only steal from people who could afford to lose some money.","['NNP', 'VB', 'IN', 'PRP', 'VB', 'NN', 'CC', 'JJ', 'NN', 'IN', 'NN', 'CC', 'NNP', 'VB', 'NN', 'IN', 'DT', 'NN', 'IN', 'VB', 'IN', 'JJ', 'NN', 'CC', 'VB', 'TO', 'VB', 'PRP$', 'NN', 'TO', 'RB', 'VB', 'IN', 'NN', 'WP', 'MD', 'VB', 'TO', 'VB', 'DT', 'NN']","[('NNP', 2), ('VB', 9), ('IN', 6), ('PRP', 1), ('NN', 9), ('CC', 3), ('JJ', 2), ('DT', 2), ('TO', 3), ('PRP$', 1), ('RB', 1), ('WP', 1), ('MD', 1)]"
5,"They set up a shelter tucked into an alleyway using anything waterproof or durable that they could find in a dumpster nearby, and luckily they had also found some old blankets and fabric they could use for bedding.","['PRP', 'VB', 'RP', 'DT', 'NN', 'VB', 'IN', 'DT', 'NN', 'VB', 'NN', 'JJ', 'CC', 'JJ', 'IN', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'RB', 'CC', 'RB', 'PRP', 'VB', 'RB', 'VB', 'DT', 'JJ', 'NN', 'CC', 'NN', 'PRP', 'MD', 'VB', 'IN', 'VB']","[('PRP', 4), ('VB', 8), ('RP', 1), ('DT', 4), ('NN', 6), ('IN', 4), ('JJ', 3), ('CC', 3), ('MD', 2), ('RB', 3)]"
6,"A few months from then, Kumiko managed to get a job moving boxes for a nearby shop, disguised as a young boy she’d seen on the streets once.","['DT', 'JJ', 'NN', 'IN', 'RB', 'NNP', 'VB', 'TO', 'VB', 'DT', 'NN', 'VB', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VB', 'IN', 'DT', 'JJ', 'NN', 'PRP', 'VB', 'VB', 'IN', 'DT', 'NN', 'RB']","[('DT', 5), ('JJ', 3), ('NN', 6), ('IN', 4), ('RB', 2), ('NNP', 1), ('VB', 6), ('TO', 1), ('PRP', 1)]"
7,"She didn’t know his quirk, but she just told the shopkeeper that it was a minor quirk that let him see slightly better and got away with it.","['PRP', 'VB', 'NN', 'VB', 'PRP$', 'NN', 'CC', 'PRP', 'RB', 'VB', 'DT', 'NN', 'IN', 'PRP', 'VB', 'DT', 'JJ', 'NN', 'WP', 'VB', 'PRP', 'VB', 'RB', 'RB', 'CC', 'VB', 'RB', 'IN', 'PRP']","[('PRP', 5), ('VB', 7), ('NN', 4), ('PRP$', 1), ('CC', 2), ('RB', 4), ('DT', 2), ('IN', 2), ('JJ', 1), ('WP', 1)]"
8,"There were a few slip-ups where she forgot what she’d called herself or what the boy had looked like, but the shopkeeper was not very observant and she got good money for her job.","['EX', 'VB', 'DT', 'JJ', 'NN', 'NN', 'WP', 'PRP', 'VB', 'WP', 'PRP', 'VB', 'VB', 'PRP', 'CC', 'WP', 'DT', 'NN', 'VB', 'VB', 'IN', 'CC', 'DT', 'NN', 'VB', 'RB', 'RB', 'JJ', 'CC', 'PRP', 'VB', 'JJ', 'NN', 'IN', 'PRP$', 'NN']","[('EX', 1), ('VB', 8), ('DT', 3), ('JJ', 3), ('NN', 6), ('WP', 3), ('PRP', 4), ('CC', 3), ('IN', 2), ('RB', 2), ('PRP$', 1)]"
9,"By now, they were living easier than before, having three meals a day, plenty of water, and some extra money to spare.","['IN', 'RB', 'PRP', 'VB', 'VB', 'JJ', 'IN', 'IN', 'VB', 'CD', 'NN', 'DT', 'NN', 'NN', 'IN', 'NN', 'CC', 'DT', 'JJ', 'NN', 'TO', 'VB']","[('IN', 4), ('RB', 1), ('PRP', 1), ('VB', 4), ('JJ', 2), ('CD', 1), ('NN', 5), ('DT', 2), ('CC', 1), ('TO', 1)]"
10,"Kumiko bought a simple cap to cover her hair at work (her disguises only lasted for so long without training and she had very little endurance, and she soon found out that they began dissolving from top down - thus the hat), and Himiko bought herself a cheap winter coat, as it was starting to get chilly in the city.","['NNP', 'VB', 'DT', 'JJ', 'NN', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'NN', 'PRP$', 'NN', 'RB', 'VB', 'IN', 'RB', 'RB', 'IN', 'NN', 'CC', 'PRP', 'VB', 'RB', 'JJ', 'NN', 'CC', 'PRP', 'RB', 'VB', 'RP', 'IN', 'PRP', 'VB', 'VB', 'IN', 'JJ', 'RP', 'RB', 'DT', 'NN', 'CC', 'NNP', 'VB', 'PRP', 'DT', 'JJ', 'NN', 'NN', 'IN', 'PRP', 'VB', 'VB', 'TO', 'VB', 'RB', 'IN', 'DT', 'NN']","[('NNP', 2), ('VB', 11), ('DT', 4), ('JJ', 4), ('NN', 10), ('TO', 2), ('PRP$', 2), ('IN', 7), ('RB', 7), ('CC', 3), ('PRP', 5), ('RP', 2)]"
11,Kumiko had a gut feeling that something was going to go wrong today.,"['NNP', 'VB', 'DT', 'NN', 'NN', 'IN', 'NN', 'VB', 'VB', 'TO', 'VB', 'JJ', 'NN']","[('NNP', 1), ('VB', 4), ('DT', 1), ('NN', 4), ('IN', 1), ('TO', 1), ('JJ', 1)]"
12,"She brushed it off as nerves, but a few hours later the roaring engine of a car and crashing could be heard from outside their shelter.","['PRP', 'VB', 'PRP', 'RP', 'IN', 'NN', 'CC', 'DT', 'JJ', 'NN', 'RB', 'DT', 'VB', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', 'MD', 'VB', 'VB', 'IN', 'IN', 'PRP$', 'NN']","[('PRP', 2), ('VB', 4), ('RP', 1), ('IN', 4), ('NN', 6), ('CC', 2), ('DT', 3), ('JJ', 1), ('RB', 1), ('MD', 1), ('PRP$', 1)]"
13,Kumiko peeked outside to see a flaming hero chasing a man holding some sort of remote.,"['NNP', 'VB', 'JJ', 'TO', 'VB', 'DT', 'NN', 'NN', 'VB', 'DT', 'NN', 'VB', 'DT', 'NN', 'IN', 'NN']","[('NNP', 1), ('VB', 4), ('JJ', 1), ('TO', 1), ('DT', 3), ('NN', 5), ('IN', 1)]"
14,"Stopping in front of their alleyway, the escaping man began scaling the wall of the multi-story building to their right, and the hero followed.","['VB', 'IN', 'NN', 'IN', 'PRP$', 'NN', 'DT', 'VB', 'NN', 'VB', 'VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', 'TO', 'PRP$', 'NN', 'CC', 'DT', 'NN', 'VB']","[('VB', 5), ('IN', 3), ('NN', 8), ('PRP$', 2), ('DT', 4), ('JJ', 1), ('TO', 1), ('CC', 1)]"
15,"The man held out the remote and seemed to shout something to the hero from the roof, but the hero continued to scale the wall and shot himself all the way to the top with a large blast of fire.","['DT', 'NN', 'VB', 'RP', 'DT', 'NN', 'CC', 'VB', 'TO', 'VB', 'NN', 'TO', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'DT', 'NN', 'VB', 'TO', 'VB', 'DT', 'NN', 'CC', 'NN', 'PRP', 'PDT', 'DT', 'NN', 'TO', 'DT', 'JJ', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NN']","[('DT', 9), ('NN', 11), ('VB', 5), ('RP', 1), ('CC', 3), ('TO', 4), ('IN', 3), ('PRP', 1), ('PDT', 1), ('JJ', 2)]"
16,"Kumiko shielded her eyes, not used to the brightness of the flames, but snapped them open again when she heard a deafening BOOM from the building the man had been standing on moments before.","['NNP', 'VB', 'PRP$', 'NN', 'RB', 'VB', 'TO', 'DT', 'NN', 'IN', 'DT', 'NN', 'CC', 'VB', 'PRP', 'RP', 'RB', 'WP', 'PRP', 'VB', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'DT', 'NN', 'VB', 'VB', 'VB', 'IN', 'NN', 'IN']","[('NNP', 1), ('VB', 7), ('PRP$', 1), ('NN', 8), ('RB', 2), ('TO', 1), ('DT', 5), ('IN', 4), ('CC', 1), ('PRP', 2), ('RP', 1), ('WP', 1)]"
17,The building exploded and began to crumble down just a few feet from their home.,"['DT', 'NN', 'VB', 'CC', 'VB', 'TO', 'VB', 'RP', 'RB', 'DT', 'JJ', 'NN', 'IN', 'PRP$', 'NN']","[('DT', 2), ('NN', 3), ('VB', 3), ('CC', 1), ('TO', 1), ('RP', 1), ('RB', 1), ('JJ', 1), ('IN', 1), ('PRP$', 1)]"
18,Kumiko quickly grabbed a sleepy Himiko and started to run.,"['NNP', 'RB', 'VB', 'DT', 'NN', 'NNP', 'CC', 'VB', 'TO', 'VB']","[('NNP', 2), ('RB', 1), ('VB', 3), ('DT', 1), ('NN', 1), ('CC', 1), ('TO', 1)]"
